n,densidade,algo,med_elapsed_s,med_calls,med_backtracks,med_prunes,taxa_sim,execucoes
10,denso,bnb,0.000857,130,120,63,0.60,5
10,denso,bt,0.000266,228,216,0,0.60,5
10,esparso,bnb,0.000744,122,112,82,0.20,5
10,esparso,bt,0.000669,534,524,0,0.20,5
20,denso,bnb,0.000318,20,0,0,1.00,5
20,denso,bt,0.000075,20,0,0,1.00,5
20,esparso,bnb,0.001743,161,141,100,0.00,5
20,esparso,bt,0.004924,4564,4544,0,0.00,5
30,denso,rnd,0.000204,29,0,0,1.00,5
30,esparso,rnd,0.058299,10081,0,0,0.00,5
40,denso,rnd,0.000352,39,0,0,1.00,5
40,esparso,rnd,0.025085,9907,0,0,0.00,5
50,denso,rnd,0.000558,49,0,0,1.00,5
50,esparso,rnd,0.035763,9353,0,0,0.00,5
