arquivo,n,densidade,algo,ans,calls,backtracks,prunes,elapsed_s
instances/auto/g_n10_denso_0.txt,10,denso,bt,SIM,10,0,0,0.000036
instances/auto/g_n10_denso_0.txt,10,denso,bnb,SIM,10,0,0,0.000128
instances/auto/g_n10_denso_1.txt,10,denso,bt,NAO,1646,1636,0,0.001820
instances/auto/g_n10_denso_1.txt,10,denso,bnb,NAO,148,138,77,0.001492
instances/auto/g_n10_denso_2.txt,10,denso,bt,NAO,1082,1072,0,0.001217
instances/auto/g_n10_denso_2.txt,10,denso,bnb,NAO,130,120,63,0.000894
instances/auto/g_n10_denso_3.txt,10,denso,bt,SIM,203,192,0,0.000263
instances/auto/g_n10_denso_3.txt,10,denso,bnb,SIM,11,0,1,0.000109
instances/auto/g_n10_denso_4.txt,10,denso,bt,SIM,228,216,0,0.000266
instances/auto/g_n10_denso_4.txt,10,denso,bnb,SIM,153,135,81,0.000857
instances/auto/g_n10_esparso_0.txt,10,esparso,bt,NAO,468,458,0,0.000544
instances/auto/g_n10_esparso_0.txt,10,esparso,bnb,NAO,122,112,82,0.000744
instances/auto/g_n10_esparso_1.txt,10,esparso,bt,NAO,100,90,0,0.000130
instances/auto/g_n10_esparso_1.txt,10,esparso,bnb,NAO,29,19,15,0.000238
instances/auto/g_n10_esparso_2.txt,10,esparso,bt,SIM,1552,1534,0,0.001852
instances/auto/g_n10_esparso_2.txt,10,esparso,bnb,SIM,284,266,120,0.001700
instances/auto/g_n10_esparso_3.txt,10,esparso,bt,NAO,2036,2026,0,0.002489
instances/auto/g_n10_esparso_3.txt,10,esparso,bnb,NAO,219,209,113,0.001295
instances/auto/g_n10_esparso_4.txt,10,esparso,bt,NAO,534,524,0,0.000669
instances/auto/g_n10_esparso_4.txt,10,esparso,bnb,NAO,55,45,28,0.000409
instances/auto/g_n20_denso_0.txt,20,denso,bt,SIM,20,0,0,0.000081
instances/auto/g_n20_denso_0.txt,20,denso,bnb,SIM,20,0,0,0.000422
instances/auto/g_n20_denso_1.txt,20,denso,bt,SIM,20,0,0,0.000067
instances/auto/g_n20_denso_1.txt,20,denso,bnb,SIM,20,0,0,0.000316
instances/auto/g_n20_denso_2.txt,20,denso,bt,SIM,20,0,0,0.000075
instances/auto/g_n20_denso_2.txt,20,denso,bnb,SIM,20,0,0,0.000318
instances/auto/g_n20_denso_3.txt,20,denso,bt,SIM,20,0,0,0.000065
instances/auto/g_n20_denso_3.txt,20,denso,bnb,SIM,20,0,0,0.000302
instances/auto/g_n20_denso_4.txt,20,denso,bt,SIM,20,0,0,0.000085
instances/auto/g_n20_denso_4.txt,20,denso,bnb,SIM,27,7,6,0.000329
instances/auto/g_n20_esparso_0.txt,20,esparso,bt,NAO,4736,4716,0,0.004924
instances/auto/g_n20_esparso_0.txt,20,esparso,bnb,NAO,161,141,100,0.001743
instances/auto/g_n20_esparso_1.txt,20,esparso,bt,NAO,6486,6466,0,0.006838
instances/auto/g_n20_esparso_1.txt,20,esparso,bnb,NAO,297,277,178,0.003077
instances/auto/g_n20_esparso_2.txt,20,esparso,bt,NAO,4564,4544,0,0.005165
instances/auto/g_n20_esparso_2.txt,20,esparso,bnb,NAO,187,167,113,0.002170
instances/auto/g_n20_esparso_3.txt,20,esparso,bt,NAO,1032,1012,0,0.001457
instances/auto/g_n20_esparso_3.txt,20,esparso,bnb,NAO,65,45,36,0.000693
instances/auto/g_n20_esparso_4.txt,20,esparso,bt,NAO,592,572,0,0.000621
instances/auto/g_n20_esparso_4.txt,20,esparso,bnb,NAO,64,44,37,0.000667
instances/auto/g_n30_denso_0.txt,30,denso,rnd,SIM,29,0,0,0.000203
instances/auto/g_n30_denso_1.txt,30,denso,rnd,SIM,29,0,0,0.000231
instances/auto/g_n30_denso_2.txt,30,denso,rnd,SIM,29,0,0,0.000199
instances/auto/g_n30_denso_3.txt,30,denso,rnd,SIM,29,0,0,0.000226
instances/auto/g_n30_denso_4.txt,30,denso,rnd,SIM,29,0,0,0.000204
instances/auto/g_n30_esparso_0.txt,30,esparso,rnd,NAO,13566,0,0,0.084861
instances/auto/g_n30_esparso_1.txt,30,esparso,rnd,NAO,10081,0,0,0.073889
instances/auto/g_n30_esparso_2.txt,30,esparso,rnd,NAO,8568,0,0,0.044307
instances/auto/g_n30_esparso_3.txt,30,esparso,rnd,NAO,10193,0,0,0.058299
instances/auto/g_n30_esparso_4.txt,30,esparso,rnd,NAO,8403,0,0,0.017649
instances/auto/g_n40_denso_0.txt,40,denso,rnd,SIM,39,0,0,0.000390
instances/auto/g_n40_denso_1.txt,40,denso,rnd,SIM,39,0,0,0.000292
instances/auto/g_n40_denso_2.txt,40,denso,rnd,SIM,39,0,0,0.000352
instances/auto/g_n40_denso_3.txt,40,denso,rnd,SIM,39,0,0,0.000359
instances/auto/g_n40_denso_4.txt,40,denso,rnd,SIM,39,0,0,0.000323
instances/auto/g_n40_esparso_0.txt,40,esparso,rnd,NAO,6957,0,0,0.012225
